%%++%% moot/WASTE output for model=en-wsj (WORD "\t" OFFSET LENGTH "\t" FEATURES)
BIRDS	0 5	alpha,cap,a0,l5,b1,s1,S0,w1
OF	7 2	stop,cap,a0,l3,b1,s0,S0,w1
GREAT	11 5	alpha,cap,a0,l5,b1,s0,S0,w1
BRITAIN	17 7	alpha,cap,a0,lN,b1,s0,S0,w1
AND	25 3	stop,cap,a0,l3,b1,s0,S0,w1
IRELAND	29 7	alpha,cap,a0,lN,b1,s0,S0,w1
ORDER	38 5	alpha,cap,a0,l5,b1,s0,S0,w1
PASSERES	44 8	alpha,cap,a0,lN,b1,s0,S0,w1
FAMILY	54 6	alpha,cap,a0,lN,b1,s0,S0,w1
ORIOLID	61 7	alpha,cap,a0,lN,b1,s0,S0,w1
^	68 1	$~,*,a0,l0,b0,s0,S0,w1
.	69 1	$.,*,a0,l0,b0,s0,S1,w1

THIS	72 4	stop,cap,a0,l5,b1,s1,S0,w1
famil	77 5	alpha,lo,a0,l5,b1,s0,S0,w1
}	82 1	$),*,a0,l0,b0,s0,S0,w1
^	83 1	$~,*,a0,l0,b0,s0,S0,w1
consists	85 8	alpha,lo,a0,lN,b1,s0,S0,w1
of	94 2	stop,lo,a0,l3,b1,s0,S0,w1
a	97 1	stop,lo,a0,l1,b1,s0,S0,w1
tropical	99 8	alpha,lo,a0,lN,b1,s0,S0,w1
group	108 5	alpha,lo,a0,l5,b1,s0,S0,w1
of	114 2	stop,lo,a0,l3,b1,s0,S0,w1
brightly	117 8	alpha,lo,a0,lN,b1,s0,S0,w1
coloured	126 8	alpha,lo,a0,lN,b1,s0,S0,w1
birds	135 5	alpha,lo,a0,l5,b1,s0,S0,w1
in	141 2	stop,lo,a0,l3,b1,s0,S0,w1
whicli	144 6	alpha,lo,a0,lN,b1,s0,S0,w1
yellow	151 6	alpha,lo,a0,lN,b1,s0,S0,w1
and	158 3	stop,lo,a0,l3,b1,s0,S0,w1
black	162 5	alpha,lo,a0,l5,b1,s0,S0,w1
,	167 1	$,,*,a0,l0,b0,s0,S0,w1
or	169 2	stop,lo,a0,l3,b1,s0,S0,w1
scarlet	172 7	alpha,lo,a0,lN,b1,s0,S0,w1
and	180 3	stop,lo,a0,l3,b1,s0,S0,w1
black	184 5	alpha,lo,a0,l5,b1,s0,S0,w1
,	189 1	$,,*,a0,l0,b0,s0,S0,w1
